[2026-01-04 15:40:30] 操作人：user | 原路径：C:\Users\user\Desktop\yolov8-train-last | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1
[2026-01-04 15:46:59] 操作人：user | 类型：folder | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\.vs | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\.vs——test
[2026-01-04 15:46:59] 操作人：user | 类型：file | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_duplicate_images.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_duplicate_images——test.py
[2026-01-04 15:46:59] 操作人：user | 类型：file | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_duplicate_labels.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_duplicate_labels——test.py
[2026-01-04 15:46:59] 操作人：user | 类型：file | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\convert_labelme_to_yolo.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\convert_labelme_to_yolo——test.py
[2026-01-04 15:46:59] 操作人：user | 类型：file | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_labels.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_labels——test.py
[2026-01-04 15:46:59] 操作人：user | 类型：file | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_valid_set.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_valid_set——test.py
[2026-01-04 15:46:59] 操作人：user | 类型：file | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\create_validation_set.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\create_validation_set——test.py
[2026-01-04 15:46:59] 操作人：user | 类型：file | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_dataset.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_dataset——test.py
[2026-01-04 15:46:59] 操作人：user | 类型：folder | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\dataset | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\dataset——test
[2026-01-04 15:46:59] 操作人：user | 类型：folder | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\Project1 | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\Project1——test
[2026-01-04 15:51:11] 操作人：user | 类型：folder | 位置：中间 | 插入索引：4 | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\.vs——test | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\.vs—test_middle—test
[2026-01-04 15:51:11] 操作人：user | 类型：file | 位置：中间 | 插入索引：4 | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_duplicate_images——test.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\chectest_middlek_duplicate_images——test.py
[2026-01-04 15:51:11] 操作人：user | 类型：file | 位置：中间 | 插入索引：4 | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_labels——test.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\chectest_middlek_labels——test.py
[2026-01-04 15:51:11] 操作人：user | 类型：file | 位置：中间 | 插入索引：4 | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\create_validation_set——test.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\createst_middlete_validation_set——test.py
[2026-01-04 15:51:11] 操作人：user | 类型：file | 位置：中间 | 插入索引：4 | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_duplicate_labels——test.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\chectest_middlek_duplicate_labels——test.py
[2026-01-04 15:51:11] 操作人：user | 类型：folder | 位置：中间 | 插入索引：4 | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\Project1——test | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\Projtest_middleect1——test
[2026-01-04 15:51:11] 操作人：user | 类型：file | 位置：中间 | 插入索引：4 | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\convert_labelme_to_yolo——test.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\convtest_middleert_labelme_to_yolo——test.py
[2026-01-04 15:51:11] 操作人：user | 类型：file | 位置：中间 | 插入索引：4 | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_valid_set——test.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\chectest_middlek_valid_set——test.py
[2026-01-04 15:51:11] 操作人：user | 类型：file | 位置：中间 | 插入索引：4 | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\check_dataset——test.py | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\chectest_middlek_dataset——test.py
[2026-01-04 15:51:11] 操作人：user | 类型：folder | 位置：中间 | 插入索引：4 | 原路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\dataset——test | 新路径：C:\Users\user\Desktop\yolov8-train-lastV_test_100.1\datatest_middleset——test
